Class,Dis,Dev,Sav,Stl,Srh,Fos,Thn,Thb,Dis2,Dev2,Sav2,Thn2,Thb2,Life,BHP,Riding,DualWielding
"Weaponmaster:Crossbows",64,64,66,3,18,10,113,212,24+8,24+8,26+8,48+13,72+28,102,12,6000,8000
"Weaponmaster:Daggers",90,64,81,5,30,20,150,166,30+12,24+8,31+10,60+18,66+20,105,12,6000,8000
"Weaponmaster:Polearms",60,54,78,1,14,2,200,80,20+8,19+7,28+10,65+27,25+11,105,12,6000,8000
"Weaponmaster:Shields",75,64,100,1,12,2,164,80,25+10,24+8,40+12,54+22,25+11,105,12,6000,8000
"Weaponmaster:Slings",70,64,79,4,23,13,113,212,30+8,24+8,29+10,48+13,72+28,102,12,6000,8000
"Weaponmaster:Staves",64,64,81,2,14,4,180,80,24+8,24+8,31+10,60+24,25+11,105,12,6000,8000
"Weaponmaster:Swords",60,53,74,1,14,2,202,80,20+8,18+7,29+9,67+27,25+11,105,12,6000,8000
"Weaponmaster:Diggers",70,61,88,3,14,2,190,80,25+9,21+8,33+11,60+26,25+11,105,12,6000,8000
"Blood-Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,108,10,0,0
"Necromancer",65,115,93,4,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,2,6000,0
"Psion",60,90,100,2,16,8,113,90,25+7,35+11,40+12,48+13,35+11,96,4,2000,4000
"Rage-Mage",55,60,115,-1,12,2,125,105,20+7,20+8,40+15,50+15,30+15,106,6,4000,6000
"Scout",105,88,84,6,50,24,150,190,30+15,33+11,34+10,50+20,65+25,104,8,6000,6000
"Mauler",85,70,95,0,14,2,220,46,25+12,25+9,35+12,70+30,16+6,110,18,4000,0
"Mystic",120,84,86,5,32,24,154,150,45+15,34+10,36+10,64+18,60+18,100,4,0,0
"Devicemaster:Wands",60,115,86,2,20,16,113,90,25+7,40+15,36+10,48+13,35+11,101,6,0,4000
"Yellow-Mage",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,0,0,0
"Gray-Mage:Good Bias",65,115,93,3,16,20,64,55,30+7,40+15,38+11,34+6,20+7,95,0,0,0
"Skillmaster",0,0,0,0,0,0,0,0,0+0,0+0,0+0,0+0,0+0,100,10,0,0
"Lawyer",120,88,92,3,40,32,130,100,45+15,33+11,42+10,55+15,40+12,102,12,2000,4000
"Ninja-Lawyer",120,84,88,8,42,28,176,90,45+15,29+11,38+10,66+22,35+11,99,8,6000,8000
"Alchemist",105,75,84,3,50,24,137,137,30+15,30+9,34+10,52+17,52+17,101,12,6000,6000
"Politician",120,69,91,7,45,28,66,64,45+15,24+9,36+11,36+6,24+8,100,9,4000,4000
"Disciple",68,93,94,3,32,16,131,116,23+9,33+12,39+11,56+15,46+14,95,14,6000,4000
